"[Container Name]","Sample"
"[Test Name]","Multi_Iteration"
"[Test Description]",""
"[Test Manual Name]",""
"[Test Run]","N"

"[Browsers]","[Browser Name]","[Browser Selection]"
,"MicroSoft Edge","N"
,"Chrome","Y"
,"Internet Explorer","N"
,"Firefox","N"
,"Safari","N"
,"MOBILE","N"

"[Test Steps]","[Step]","[Page]","[Object]","[Action]","[Command]","[Screenshot]","[OnPass]","[OnFail]"
,"1","Reusable Objects","Login Minnesota","NA","NA","N","2","28"
,"2","Reusable Objects","BOI_CommercialAuto","NA","NA","N","3","28"
,"3","Generic","Generic","updateDATA","1|ds=y;loopVar","N","4","28"
,"4","Generic","Generic","IFEVAL","{ds=y;loopVar}<={ds=y;Iteration}","N","5","28"
,"5","Generic","Generic","updateDATA","1|ds=y;VIN_NUM","N","6","28"
,"6","Generic","Generic","IFEVAL","{ds=y;VIN_NUM}<={ds=y;Iteration}","N","7","28"
,"7","Generic","Generic","setPass","loop value is {ds=y;loopVar}","N","8","28"
,"8","VehicleInfo","SelectCar","Click","Execute","N","9","28"
,"9","VehicleInfo","VIN","setText","{ds=y;VIN{ds=y;VIN_NUM}}","N","10","28"
,"10","VehicleInfo","LookUpVIN","Click","Execute","N","11","28"
,"11","VehicleInfo","FarthestOneWayDistance","setText","{ds=y;FarthestOneWayDistance}","N","12","28"
,"12","VehicleInfo","FarthestOneWayDistance","sendTABkey","Execute","N","13","28"
,"13","VehicleInfo","Business&Personal","Click","Execute","N","14","28"
,"14","Generic","Wait","Sleep","3","N","15","28"
,"15","VehicleInfo","OwnorLease?","setText","{ds=y;OwnorLease}","N","16","28"
,"16","VehicleInfo","OwnorLease?","sendTABkey","Execute","N","17","28"
,"17","Generic","Wait","Sleep","3","N","18","28"
,"18","VehicleInfo","NoCoverage","Click","Execute","N","19","28"
,"19","VehicleInfo","AverageNumber","setText","1","N","20","28"
,"20","VehicleInfo","AverageNumber","sendTABkey","Execute","N","21","28"
,"21","Generic","Wait","Sleep","3","N","22","28"
,"22","VehicleInfo","Save&Continue","Click","Execute","N","23","28"
,"23","Generic","Wait","Sleep","3","N","24","28"
,"24","VehicleInfo","AddVehicle","Click","Execute","N","25","28"
,"25","Generic","Generic","updateDATA","{ds=y;VIN_NUM}+1|{ds=y;VIN_NUM}","N","6","28"
,"26","Generic","Generic","updateDATA","{ds=y;loopVar}+1|ds=y;loopVar","N","4","28"
,"27","Generic","Generic","setPass","Completed","N","28","28"

"[Data Sheet]","[DS_OS]","[DS_BROWSER]","[DS_ID]","[DS_FLAG]","Address","City","DOB","FLAG","FarthestOneWayDistance","FirstName","Iteration","KeyWord","LastName","OwnorLease","State","VIN","VIN1","VIN2","VIN3","VIN_NUM","VehicleType","ZipCode","[DS_DESC]","[DS_TAGS]","[DS_TMID]","loopVar"
,"ANY","Chrome","001","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","002","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","003","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","004","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","005","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","006","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","007","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","008","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","009","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","010","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
,"ANY","Chrome","011","Y","Park Street","St Paul","06121992","50 miles","Scott","3","Accountant","mmngorthy","Own and do not make payments","Minnesota","","19UUA56962A052295","SAJHX1248VC789106","1LNLM81W8SY697064","1","Car - Luxury","55044"
